age,gender,job,experience,studies,income,country,comments,expectations,workload,lecturer,methodology,product,language
66,M,economics,9,master,26961,CO,Hi Everyone!!! I know I haven't been coming at you guys with the looks of recent but I've found a way to make up fo… https://t.co/zmBdu0Ulr6,3,4,0,2,A,0
41,M,consultant,9,master,38792,UK,"""Bootcamp (Indoor) 5.45pm"", Martin Ostler Gym above Pastures New, United Kingdom on Wed 23 Sep 2020  5.45PM,  ticke… https://t.co/voCoBbMFQK",1,5,4,0,A,0
47,F,business administration,0,master,59526,BR,@JavaScriptCoff1 Full immersion I think. If you combine a FT job with learning on eves &amp; weekends your process will… https://t.co/neR3RWXBkr,4,3,3,3,A,0
38,M,technician,3,PhD,29292,SA,RT @CyberASAP: Sam Cater @bt_uk kicks off the @CyberASAP Bootcamp @KTNUK providing personal insights and stressing the importance of demons…,4,0,5,5,A,0
71,F,manager,8,master,66358,CO,"#FEATURED #COURSES

The Complete #SQL #Bootcamp 2020: Go from Zero to Hero

Become an expert at SQL!… https://t.co/c1Pyko2AQ8",4,1,0,1,A,0
70,F,computer science,9,PhD,24064,CO,"Thanks to @IEXlearning for inviting us to your virtual event on Tuesday!

We can't wait to start working with membe… https://t.co/xcebJZLJqH",3,3,2,3,A,0
59,F,manager,4,degree,33468,UK,Microsoft Education course: Code Jumper-an inclusive physical coding language. https://t.co/R8K8XODD5T,5,4,2,3,A,0
65,M,software developer,3,degree,28260,UK,"34 arrested in what the EDD calls a web of unemployment fraud 

READ MORE: https://t.co/H3dyRh5low

#AJAX #Branding… https://t.co/RpMzkVkrSs",4,5,0,0,A,0
48,F,integrated engineer,3,professional,70068,US,Women’s voices and their participation in all aspects of society are more important than ever. It has been a wonder… https://t.co/NCv7856YTH,4,5,2,5,A,0
70,M,economics,4,degree,54666,IT,"RT @CyberASAP: Delighted to welcome @FinneganIPLaw to the @CyberASAP Bootcamp today for insights on #IP Licensing strategies. 

More about…",5,1,3,0,A,0
23,F,consultant,8,PhD,73223,IT,"Our Crowdfunding Courses will teach you all you need to know about #Crowdfunding 😄 for nonprofits, social enterpris… https://t.co/K7DqJhLzqV",4,0,4,5,A,0
47,F,economics,6,degree,49770,SA,"Hiring news!
Samar Joined E-Bursum as a Front-End Intern and started working on 5 August 2020. She is a graduate of… https://t.co/fTY8Rglwi1",0,1,4,0,A,0
57,M,business administration,5,degree,69044,BR,What is the benefit of a bootcamp vs a course or lectures on youtube/Udemy?,0,3,5,3,A,0
60,M,marketing,7,master,38886,SA,"RT @EDUTREASURE1: Complete SQL Bootcamp with MySQL, PHP &amp; Python udemy coupon

udemy #udemycoupon #freecourses #MySql #PHP #Python
Get it h…",3,3,3,0,A,0
74,M,business administration,4,PhD,23240,ES,MQL4 Tutorial Bootcamp 1 - 9 How to create dynamic output on your chart https://t.co/wkg4JFgszR @YouTubeより,0,4,2,4,A,0
38,F,economics,5,master,56521,US,"Join us on the 8th of October as Spanish Point Technologies host a #SharePoint Bootcamp!🔊🔊

This one-day hands-on b… https://t.co/cAsoahg0g2",5,0,0,2,A,0
40,F,manager,7,PhD,49657,SA,It's going to be really engaging and VERY beginner friendly! It's a 4 day bootcamp so you know we aren't here to pl… https://t.co/svJundiPwT,0,2,2,2,A,0
46,F,finance,8,PhD,49450,ES,@lauracharvey Hope you have a great day at Bootcamp 😃👍🏼,1,2,3,4,A,0
24,F,computer science,0,degree,42112,US,"""Bootcamp (Indoor) 6.15pm"", Martin Ostler Gym above Pastures New, United Kingdom on Wed 23 Sep 2020  6.15PM,  ticke… https://t.co/3JJmi0jBS2",4,2,3,3,A,0
32,F,computer science,9,professional,51542,US,"@JavaScriptCoff1 I believe a lot of it is the cohort. Having peers at the same point to talk to, as well as mentors… https://t.co/8FpDembr9a",0,0,5,2,A,0
55,M,integrated engineer,4,PhD,72613,BR,you love to see eet🤩,1,5,3,4,A,0
58,F,technician,0,professional,40573,BR,@Martin8Thacker @tc60central @TommyCoyle89 Do it Martin but just swap exercises that are bad for your knee. I nurse… https://t.co/32YLu9pdMH,1,1,5,5,A,0
60,F,computer science,1,professional,23482,IT,"Do you know any good online ""concept art bootcamp"" to recommend? via /r/conceptart https://t.co/BTH6TS2GzZ https://t.co/rZZihmF1RX",2,4,5,3,A,0
24,M,integrated engineer,6,professional,26220,US,"More magical photos of Barrys Bootcamp. We love the LED lit logo - way to make a first impression!

☎️ 01923 811 99… https://t.co/zAnVXhNjFf",0,3,2,4,A,0
41,M,integrated engineer,4,PhD,21795,CO,"Complete SQL Bootcamp with MySQL, PHP &amp; Python udemy coupon

udemy #udemycoupon #freecourses #MySql #PHP #Python
Ge… https://t.co/34Kww7Dk8O",1,1,3,0,A,0
53,M,finance,8,PhD,23776,SA,GLR BUCK SHOT STEEL TEK  Drop_1 Bootcamp Click Playing now in Miami on WUGR 103.1Fm https://t.co/6mWmiqef1S,5,4,3,5,A,0
75,M,business administration,2,degree,68326,UK,"[100% Discount] Free - Limited Time Offer

✅ Facebook Ads For Online Entrepreneurs (Hands On Bootcamp)… https://t.co/JFJkpG2cMF",0,0,0,5,A,0
