age,gender,job,experience,studies,income,country,comments,expectations,workload,lecturer,methodology,product,language
27,M,integrated engineer,2,PhD,45209,SA,RT @CodeHouseLearn: ¡Ya tenemos siguiente edición de nuestro #Bootcamp Fullstack Web #Developer!💥Te esperamos el 9 de noviembre💙Para celebr…,4,0,5,2,C,1
59,F,consultant,8,degree,36668,SA,"Este sábado! Dale pal' bootcamp!
A las 8am!! 
Te espero! Es gratis! 🔥💪🏼
Lleva tu botella de agua y una toalla para… https://t.co/W72UXR13o0",4,0,2,4,C,1
30,F,manager,3,PhD,39351,SA,@gatete_estelar dicho esto: hay muchisima gente muy capa en su campo dando mentorias y cursos que valen mas la pena… https://t.co/Z8jUsf8DJV,2,5,5,5,C,1
70,M,software developer,5,PhD,75647,BR,@gatete_estelar mira siendote 100% sincera NO estoy a favor de ningun bootcamp. Creo que es un desproposito que inv… https://t.co/eCPP5bvVti,4,1,0,2,C,1
58,M,integrated engineer,6,PhD,16624,US,Se acerca el  Global Microsoft 365 Developer Bootcamp Women's Voice IT Latam 2020. Estamos muy contentos de present… https://t.co/6TfRdRoKNw,5,5,4,0,C,1
24,M,integrated engineer,3,professional,29971,BR,El lanzamiento del programa de aceleración de las exportaciones Eko BootCamp 2.0 está a punto de empezar. Participa… https://t.co/h9msguXIX3,4,5,4,3,C,1
33,F,integrated engineer,3,PhD,50226,US,"Un bootcamp de programación es estilo un máster no? — Que va, nada que ver. El bootcamp no es una formación oficial… https://t.co/yU2TgeTL1p",2,3,5,1,C,1
71,F,economics,8,professional,58274,SA,"#DevOps es la especialidad con sueldos más altos en el mundillo del código, y todo esto es porque hay muy pocos… https://t.co/zo65FyJt83",3,0,4,5,C,1
68,F,finance,2,master,19682,BR,"¿Con quién vendrías a viciar en la Bootcamp de El Templo ⛩️?

¡Etiquétal@! 💜 https://t.co/2S21xbXCk7",5,5,3,3,C,1
67,F,computer science,0,PhD,49811,UK,,0,0,3,5,C,1
39,F,economics,2,degree,48777,FR,,2,3,3,4,C,1
71,M,informatics engineer,9,master,33506,UK,,2,1,3,4,C,1
73,M,informatics engineer,4,master,75596,US,,5,1,2,1,C,1
66,M,manager,1,PhD,72804,BR,,3,0,3,2,C,1
57,F,economics,2,PhD,45469,SA,,4,4,1,3,C,1
64,F,business administration,4,degree,25767,IT,,5,5,2,1,C,1
30,F,finance,7,master,73396,BR,,0,0,1,3,C,1
56,F,economics,9,master,33978,UK,,3,0,2,1,C,1
33,F,marketing,0,PhD,42029,BR,,3,3,1,2,C,1
30,F,computer science,4,master,38918,US,,5,1,1,2,C,1
42,M,consultant,7,degree,53411,BR,,1,3,0,1,C,1
26,M,consultant,6,professional,58156,IT,,1,0,0,4,C,1
57,F,informatics engineer,4,PhD,23230,BR,,4,5,5,0,C,1
49,F,business administration,7,PhD,49565,FR,,0,3,3,4,C,1
74,F,finance,9,degree,18020,FR,,1,0,2,5,C,1
50,F,consultant,6,professional,62195,CO,,4,5,3,1,C,1
44,F,informatics engineer,6,PhD,63113,SA,,5,4,5,5,C,1
33,M,informatics engineer,6,degree,55778,FR,,2,3,1,5,C,1
70,F,integrated engineer,5,degree,48051,US,,3,5,5,4,C,1
28,F,finance,3,master,67956,UK,,0,2,3,4,C,1
35,F,business administration,8,master,36933,UK,,4,0,0,1,C,1
35,F,informatics engineer,3,master,48293,FR,,4,3,3,5,C,1
43,F,finance,3,degree,72788,US,,1,2,2,5,C,1
37,M,software developer,8,PhD,75395,SA,,4,4,3,3,C,1
71,M,informatics engineer,2,professional,39132,BR,,2,0,1,1,C,1
61,M,computer science,1,master,29568,UK,,3,2,2,4,C,1
64,M,consultant,0,master,15987,IT,,5,3,1,5,C,1
48,F,informatics engineer,9,PhD,21906,ES,,4,1,0,4,C,1
50,F,technician,1,degree,62500,CO,,0,2,3,4,C,1
73,M,finance,5,master,65509,ES,,0,4,5,1,C,1
25,M,economics,0,professional,66643,FR,,5,0,4,4,C,1
42,F,software developer,1,professional,24133,ES,,3,4,1,1,C,1
72,F,technician,5,master,39014,FR,,5,0,1,5,C,1
70,F,informatics engineer,0,master,26552,SA,,5,4,0,3,C,1
63,M,integrated engineer,9,professional,44398,SA,,2,4,0,3,C,1
61,M,integrated engineer,9,PhD,23407,FR,,1,2,4,4,C,1
61,M,software developer,2,degree,65360,US,,5,0,5,5,C,1
46,M,informatics engineer,2,degree,49522,UK,,5,0,2,4,C,1
68,F,manager,3,professional,30827,CO,,2,3,0,2,C,1
60,M,consultant,7,professional,58469,FR,,0,1,5,3,C,1
30,M,integrated engineer,0,master,68722,BR,,0,2,5,3,C,1
31,M,software developer,4,professional,69944,CO,,5,2,0,1,C,1
42,M,economics,8,PhD,57229,FR,,5,2,5,0,C,1
